dr_no,date_rptd,date_occ,time_occ,area_name,crm_cd_desc,vict_age,vict_sex,vict_descent,weapon_desc,status_desc,location
231706463,2023-02-28,2023-01-31,12:45,Devonshire,THEFT OF IDENTITY,63,M,W,No weapon/Unknown,Invest Cont,11000    BALBOA                       BL
220214664,2022-08-13,2022-08-13,12:30,Rampart,BATTERY - SIMPLE ASSAULT,37,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1700    BEVERLY                      BL
220914472,2022-09-30,2022-09-28,13:00,Van Nuys,THEFT PLAIN - PETTY ($950 & UNDER),28,M,W,No weapon/Unknown,Invest Cont,7400 N  SEPULVEDA                    BL
230809155,2023-04-26,2023-04-21,01:10,West LA,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",28,M,Z,No weapon/Unknown,Invest Cont,600    LEVERING                     AV
230510525,2023-06-30,2023-06-30,03:00,Harbor,BURGLARY FROM VEHICLE,58,M,W,No weapon/Unknown,Invest Cont,1200 S  AVERILL                      AV
220211324,2022-06-03,2022-06-03,19:10,Rampart,BATTERY - SIMPLE ASSAULT,46,M,W,STICK,Invest Cont,CAMBRIA
221011598,2022-07-14,2022-07-09,10:30,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,18900    VOSE                         ST
230805677,2023-02-09,2023-02-09,09:00,West LA,INTIMATE PARTNER - SIMPLE ASSAULT,35,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1900 S  BEDFORD                      ST
231005109,2023-01-29,2023-01-29,15:47,West Valley,BURGLARY,53,M,O,No weapon/Unknown,Invest Cont,8200    RHEA                         AV
232011433,2023-06-11,2023-06-11,16:00,Olympic,OTHER ASSAULT,32,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3100    WILSHIRE                     BL
231207974,2023-03-06,2023-03-06,15:25,77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,17,F,B,VERBAL THREAT,Invest Cont,2900 W  70TH                         ST
